word|state|url|audio
a bit|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-224906_21.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-07160-merge.wav|a bit.wav
a knife and fork|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-224929_22.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len16-28265-merge.wav|a knife and fork.wav
a lot|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-224949_20.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-49351-merge.wav|a lot.wav
a lot of|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225010_20.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-97442-merge.wav|a lot of.wav
a map of china|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225032_21.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len14-51222-merge.wav|a map of china.wav
a pair of|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225053_21.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-35394-merge.wav|a pair of.wav
able|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225112_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-54666-merge.wav|able.wav
about|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225132_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-39815-merge.wav|about.wav
actor|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225151_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-29379-merge.wav|actor.wav
afraid|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225211_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-49719-merge.wav|afraid.wav
after|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225230_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-28706-merge.wav|after.wav
afternoon|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-225250_19.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-01822-merge.wav|afternoon.wav
